file,slice,sequence,site_row,site_col,volume_mm3,contrast,radius_px,fill,model,acceleration,mask_type,seed,lambda,kappa,mu_lambda,z_ref,residual_factual,residual_cf,t_R,t_N,psnr_factual,psnr_cf,ssim_factual,ssim_cf,metric_crop,metric_maxval,maxval_ratio_cf_over_factual,roi_cnr_cf,roi_cnr_ref,roi_ssim_cf,lesion_energy,pair_seconds,unit_seconds,sites_skipped_zero_gain,z_recon,erased,indeterminate,silently_erased,git_commit,thresholds_sha256,run_label
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,389,175,27.0,1.5,2.7069839602882912,0.3308535951463467,cg_sense_tuned,6,equispaced,0,0.0,0.6129611502033923,0.8572992130950425,2.419656237221908,0.10658595080577156,0.10652689750869425,0.9837120416369277,0.009356421352648319,27.838994747758207,27.835608526337523,0.8090555167109078,0.8092693190974577,320,0.0002916659201607415,1.0789965380015907,2.7669124305340227,2.5629756125278687,0.7125961773676582,1.823115440848051e-07,1.9,834.7,0,1.6778976560805974,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,303,225,64.0,0.24,3.6093119470510544,0.4411381268617955,cg_sense_tuned,6,equispaced,0,0.0,0.6685975811429458,0.896222504023103,5.006635927036735,0.10658595080577156,0.10656415492122177,0.9852871664523183,0.006567601224251413,27.838994747758207,27.833778111183875,0.8090555167109078,0.8090846934396798,320,0.0002916659201607415,1.0,1.001285408096577,1.0802484809176744,0.6752178138678623,2.033802549296229e-08,2.8,834.7,0,1.6058827129229587,True,False,True,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,303,225,64.0,1.0,3.6093119470510544,0.4411381268617955,cg_sense_tuned,6,equispaced,0,0.0,0.6685975811429459,0.896222504023103,5.006635927036735,0.10658595080577156,0.10648842769170984,0.9852871664523184,0.006567601224251411,27.838994747758207,27.798731808493557,0.8090555167109078,0.8089918374921636,320,0.0002916659201607415,1.1907572374362294,1.8044763485431512,2.066613548102565,0.7006818456149986,3.530907203639287e-07,3.0,834.7,0,3.8651678609123645,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,303,225,64.0,1.5,3.6093119470510544,0.4411381268617955,cg_sense_tuned,6,equispaced,0,0.0,0.6685975811429445,0.896222504023103,5.006635927036735,0.10658595080577156,0.10643307322245359,0.9852871664523166,0.006567601224251412,27.838994747758207,27.760421733651526,0.8090555167109078,0.8088227634554792,320,0.0002916659201607415,1.3554576914219956,2.3240380936322866,2.715537934408415,0.7116852960594252,7.944541208188394e-07,2.0,834.7,0,5.351641678171853,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,322,157,100.0,0.24,4.188235507614343,0.5118954509306419,cg_sense_tuned,6,equispaced,0,0.0,0.7052694895961819,0.817367749982299,6.606076085851337,0.10658595080577156,0.10656320686364743,0.9863006900957771,0.0019188375498982119,27.838994747758207,27.836549273490675,0.8090555167109078,0.8090694272521269,320,0.0002916659201607415,1.0,0.5957648346694164,0.646138549430648,0.7268078764087688,2.2282857004087052e-08,2.3,834.7,0,1.2959777554182268,True,False,True,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,322,157,100.0,1.0,4.188235507614343,0.5118954509306419,cg_sense_tuned,6,equispaced,0,0.0,0.7052694895961814,0.817367749982299,6.606076085851337,0.10658595080577156,0.10648288454809537,0.9863006900957771,0.0019188375498982138,27.838994747758207,27.811289300377666,0.8090555167109078,0.8090108963631291,320,0.0002916659201607415,1.0548322063363897,1.914157862387662,1.9293785128111454,0.7305947020636869,3.8685515632095573e-07,2.5,834.7,0,3.744786950096975,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,322,157,100.0,1.5,4.188235507614343,0.5118954509306419,cg_sense_tuned,6,equispaced,0,0.0,0.705269489596181,0.817367749982299,6.606076085851337,0.10658595080577156,0.10642319430551674,0.9863006900957774,0.001918837549898214,27.838994747758207,27.780281406804363,0.8090555167109078,0.8088950732222835,320,0.0002916659201607415,1.2047000117071638,2.7501151660943552,2.7736153308246325,0.734775974369461,8.704241017221504e-07,2.3,834.7,0,5.356530273774229,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,413,187,200.0,0.24,5.27684607796045,0.6449478539729439,cg_sense_tuned,6,equispaced,0,0.0,0.75862984090861,0.9601701690595325,2.832668889407124,0.10658595080577156,0.10657505881254656,0.9865755297783294,0.02485460965082718,27.838994747758207,27.8367630334929,0.8090555167109078,0.8091258987342189,320,0.0002916659201607415,1.0,0.08895067860553367,0.48880876368931914,0.6408729107542234,1.2032469245096926e-08,2.1,834.7,0,0.19423331559937504,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,413,187,200.0,1.0,5.27684607796045,0.6449478539729439,cg_sense_tuned,6,equispaced,0,0.0,0.7586298409086114,0.9601701690595325,2.832668889407124,0.10658595080577156,0.10653535626266464,0.9865755297783289,0.024854609650827184,27.838994747758207,27.823297731606772,0.8090555167109078,0.8093496132677139,320,0.0002916659201607415,1.0,1.1774791180278603,2.0214716366399466,0.691296904727293,2.0889703550515495e-07,2.0,834.7,0,1.6139925630496614,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,413,187,200.0,1.5,5.27684607796045,0.6449478539729439,cg_sense_tuned,6,equispaced,0,0.0,0.7586298409086111,0.9601701690595325,2.832668889407124,0.10658595080577156,0.10650492665767924,0.9865755297783303,0.024854609650827187,27.838994747758207,27.809170935970045,0.8090555167109078,0.8093495703865287,320,0.0002916659201607415,1.0,1.8625887914259627,3.029802474107465,0.7080700037591507,4.700183298865987e-07,2.2,834.7,0,2.551477908392186,False,False,False,c736b64,911de8625fec,classical_R468
file_brain_AXFLAIR_200_6002471,7,AXFLAIR,330,132,10.0,0.24,1.9440067164683283,0.2376008209016845,cg_sense_tuned,8,equispaced,0,0.0,0.4838845715691881,0.6358361118397431,3.7102334673940622,0.0923750298505757,0.09237245815438394,0.981165482891789,0.00042359238014702587,26.113076746662188,26.11116512614305,0.7672337551160486,0.767199906220053,320,0.0002916659201607415,1.0,-0.33873061443338376,1.37502922759406,0.4373352213160213,1.3507916948504028e-09,2.0,870.1,0,-1.246474539507946,True,False,True,c736b64,911de8625fec,classical_R468
